"Player","Handle","Followers","Team","Salary"
"Andrej Sustr","AndrejSustr",13283,"TBL",1600000
"Derek Stepan","DerekStepan21",119528,"NYR",8e+06
"Ryan McDonagh","RMcDonagh27",132651,"NYR",5e+06
"Duncan Keith","DuncanKeith",138120,"CHI",6e+06
"Jonathan Quick","JonathanQuick32",266588,"LAK",7e+06
"Johnny Gaudreau","johngaudreau03",57959,"CGY",3750000
"Jonas Brodin","brodin25",15385,"MIN",4e+06
"Adam Larsson","AdamLarsson3",16469,"EDM",3e+06
"Justin Falk","JuicerFalk",12678,"BUF",650000
"Kyle Okposo","bookerT2116",62769,"BUF",8e+06
"Connor Murphy","Cmurphy5",5037,"ARI",2400000
"Magnus Paajarvi","mps_91",43872,"STL",7e+05
"Alex Goligoski","gollygoose33",34254,"ARI",5375000
"P.K. Subban","PKSubban1",924129,"NSH",1.1e+07
"Nate Schmidt","nateschmidt29",15043,"WSH",875000
"Stephen Johns","stjohns28",7696,"DAL",650000
"John-Michael Liles","hoosierjm26",66809,"BOS",2e+06
"Joakim Nordstrom","Jo92No",12954,"CAR",1250000
"T.J. Oshie","TJOshie77",375700,"WSH",4500000
"Jack Eichel","Jack_Eichel11",108181,"BUF",925000
"Matt Tennyson","Tenner_7",7941,"CAR",675000
"Jamie McGinn","JamieMcGinn88",49338,"ARI",3e+06
"Mike Fisher","mikefisher1212",173979,"NSH",4e+06
"Daniel Winnik","Danwinnik34",32908,"WSH",1500000
"Carl Gunnarsson","carl_gun",61516,"STL",2900000
"Andrew Shaw","shawz15er",454515,"MTL",5500000
"Mark Fistric","Fistric45",17850,"ANA",216666
"Brian Elliott","KidElls1",103696,"CGY",2700000
"Joel Edmundson","JEdmundson3",10821,"STL",9e+05
"James Neal","jneal_18",180998,"NSH",5e+06
"Blake Wheeler","BiggieFunke",75089,"WPG",5800000
"Tyler Toffoli","tytoff16",36897,"LAK",3900000
"Carl Hagelin","CarlHagelin",139494,"PIT",3667000
"Yannick Weber","yanweber68",58233,"NSH",575000
"Chris Stewart","Cstew_7",55975,"MIN",1200000
"Devante Smith-Pelly","smithpelly23",48948,"NJD",1250000
"James Wisniewski","jameswisniewski",36171,"CAR",3500000
"Jean-Francois Berube","JRouby",5455,"NYI",675000
"Aaron Ekblad","Ekblad5FLA",29532,"FLA",925000
"Darcy Kuemper","dkuemps35",22844,"MIN",1550000
"Taylor Hall","hallsy09",437878,"NJD",6e+06
"Damon Severson","dseves7",6527,"NJD",6e+05
"Danny DeKeyser","DeKeyser5",52783,"DET",4e+06
"Aaron Dell","ADell32",4423,"SJS",575000
"Brenden Dillon","BDillon04",20843,"SJS",2750000
"Dougie Hamilton","dhamilton27",24714,"CGY",5500000
"Calvin Pickard","cpickard1",10399,"COL",925000
"Brett Connolly","bconnolly8",25281,"WSH",850000
"Brian Gionta","Giostyle21",133584,"BUF",3250000
"Anthony Bitetto","ABitetto7",5620,"NSH",575000
"Jayson Megna","Jayson_Megna",20374,"VAN",6e+05
"Kevin Hayes","KevinPHayes12",44063,"NYR",2600000
"Justin Schultz","6Schultz6",67517,"PIT",1400000
"Matt Carle","mattcarle25",56750,"TBL",1833333
"Jake Gardiner","Jgardiner272",133436,"TOR",4050000
"R.J. Umberger","Umby18",39933,"PHI",1600000
"Oliver Ekman-Larsson","OEL_23",23566,"ARI",6e+06
"Jimmy Hayes","Jimmy10Hayes",44567,"BOS",2400000
"Logan Shaw","loganshaw11",3341,"ANA",660000
"Matt Duchene","Matt9Duchene",320192,"COL",6e+06
"Mike Condon","Condibear1",18403,"OTT",575000
"Jon Marchessault","JMarchessault18",3993,"FLA",750000
"Michael Del Zotto","MichaelDelZotto",110913,"PHI",4e+06
"Michal Neuvirth","mneuvirth30",23605,"PHI",1750000
"Matt Beleskey","Matt_Beleskey",36095,"BOS",4e+06
"John Carlson","JohnCarlson74",92833,"WSH",4e+06
"Logan Couture","Logancouture",333854,"SJS",6e+06
"Michael Grabner","grabs40",112593,"NYR",1650000
"Matt Moulson","MMoulson",75510,"BUF",5e+06
"Curtis McKenzie","muckbro16",6181,"DAL",7e+05
"Cam Atkinson","CamAtkinson13",32818,"CBJ",3500000
"Kyle Turris","kyleturris",80003,"OTT",4e+06
"Ben Bishop","Benbishop30",59138,"LAK",4760000
"Connor Brown","Breeze2Greeze",16984,"TOR",650000
"Evander Kane","evanderkane_9",197151,"BUF",6e+06
"Ian Cole","ICole28",45016,"PIT",2300000
"Ryan Kesler","Ryan_Kesler",318154,"ANA",7875000
"Tyler Bozak","Bozie42",204761,"TOR",4500000
"Chris Kreider","ChrisKreider",86246,"NYR",5e+06
"Riley Sheahan","rsheahan4",7497,"DET",2075000
"Jeff Petry","PetryJ",42627,"MTL",7e+06
"Zemgus Girgensons","zemgus94",72478,"BUF",1150000
"Jordin Tootoo","Jtootoo22",183606,"CHI",750000
"Marian Gaborik","MGaborik12",214053,"LAK",6075000
"Scottie Upshall","ScottieUpshall",68722,"STL",9e+05
"David Perron","DP_57",126482,"STL",3750000
"Frank Vatrano","Frank_Vatrano",8269,"BOS",792500
"Anze Kopitar","AnzeKopitar",193737,"LAK",1.4e+07
"Mike Green","GreenLife52",102178,"DET",6e+06
"James van Riemsdyk","JVReemer21",254626,"TOR",5e+06
"Ben Lovejoy","RevLovejoy6",39255,"NJD",2500000
"Eric Fehr","EricFehr",88767,"TOR",2e+06
"Tyler Johnson","tjohnny09",35299,"TBL",4e+06
"Frederik Andersen","f_andersen30",23914,"TOR",5e+06
"Keith Kinkaid","Blockaid1",8547,"NJD",750000
"Brendan Smith","bssmith7",48301,"NYR",3250000
"Dalton Prout","prouter5",6989,"NJD",1250000
"Tanner Pearson","tannerjpearson",23776,"LAK",1550000
"Carter Hutton","CarterHutton",18503,"STL",1250000
"Roman Josi","rjosi90",26768,"NSH",4250000
"Dustin Brown","DustinBrown23",204444,"LAK",7e+06
"Alex Ovechkin","ovi8",2444317,"WSH",1e+07
