"Player","Tm","Salary","Cap.Hit"
"Michal Rozsival","CHI","600,000","600,000"
"Andy Andreoff","LAK","600,000","587,500"
"Nick Jensen","DET","600,000","587,500"
"Brad Hunt","NSH","600,000","600,000"
"Taylor Fedun","BUF","600,000","600,000"
"Derek Ryan","CAR","600,000","600,000"
"Seth Helgeson","NJD","600,000","587,500"
"Lukas Sedlak","CBJ","600,000","600,000"
"Shawn Thornton","FLA","600,000","600,000"
"Adam Cracknell","DAL","600,000","600,000"
"Tim Schaller","BOS","600,000","600,000"
"Drew Shore","VAN","600,000","600,000"
"Dylan DeMelo","SJS","600,000","650,000"
"Michael Chaput","VAN","600,000","600,000"
"Nick Shore","LAK","600,000","600,000"
"Ryan Sproul","DET","600,000","625,000"
"Josh Jooris","ARI","600,000","600,000"
"Tyler Graovac","MIN","600,000","625,000"
"Peter Budaj","TBL","600,000","600,000"
"Michael Sgarbossa","FLA","600,000","600,000"
"Stefan Noesen","NJD","600,000","600,000"
"Scott Wilson","PIT","590,000","625,000"
"Tom Kuhnhackl","PIT","590,000","625,000"
"Michael Bournival","TBL","575,000","575,000"
"Marc Savard","NJD","575,000","4,027,143"
"Luke Witkowski","TBL","575,000","575,000"
"Matt Bartkowski","CGY","575,000","612,500"
"Jared Coreau","DET","575,000","612,500"
"Yannick Weber","NSH","575,000","575,000"
"Scott Mayfield","NYI","575,000","625,000"
"Harry Zolnierczyk","NSH","575,000","575,000"
"Alan Quine","NYI","575,000","612,500"
"Dennis Rasmussen","CHI","575,000","575,000"
"Miikka Salomaki","NSH","575,000","612,500"
"Paul Thompson","FLA","575,000","575,000"
"Mike Condon","OTT","575,000","575,000"
"Anthony Bitetto","NSH","575,000","612,500"
"Aaron Dell","SJS","575,000","625,000"
"Gabriel Dumont","TBL","575,000","575,000"
"Freddie Hamilton","CGY","575,000","612,500"
"Matthew Murray","PIT","575,000","620,000"
"Stephen Gionta","NYI","575,000","575,000"
"Devin Setoguchi","LAK","575,000","575,000"
"Matt Irwin","NSH","575,000","575,000"
"Josh Leivo","TOR","575,000","612,500"
"Andreas Athanasiou","DET","575,000","628,333"
"Austin Watson","NSH","575,000","575,000"
"Chad Ruhwedel","PIT","575,000","575,000"
"Petter Granberg","NSH","575,000","612,500"
"Carter Rowney","PIT","575,000","612,500"
"Colton Sissons","NSH","575,000","625,000"
"Jared Boll","CBJ","566,666","566,666"
"Cody Hodgson","BUF","541,666","541,666"
"Erik Nystrom","NSH","500,000","500,000"
"Lauri Korpikoski","EDM","500,000","500,000"
"Patrick Maroon","ANA","500,000","500,000"
"Jannik Hansen","VAN","500,000","500,000"
"Cody McLeod","COL","450,000","533,333"
"Jakub Kindl","DET","360,000","360,000"
"Rich Clune","NSH","283,333","283,333"
"Tom Gilbert","LAK","280,000","280,000"
"Ilya Kovalchuk","NJD","250,000","250,000"
"Mark Streit","PHI","246,750","246,750"
"Mark Fistric","ANA","216,666","216,666"
"Dylan McIlrath","FLA","",""
